日付,始値,高値,安値,終値
2022年03月08日 09:00,115.362,115.398,115.328,115.335
2022年03月08日 09:10,115.335,115.353,115.318,115.347
2022年03月08日 09:20,115.346,115.365,115.336,115.348
2022年03月08日 09:30,115.349,115.397,115.338,115.381
2022年03月08日 09:40,115.382,115.424,115.38,115.423
2022年03月08日 09:50,115.422,115.47,115.415,115.44
2022年03月08日 10:00,115.442,115.474,115.433,115.456
2022年03月08日 10:10,115.455,115.492,115.454,115.459
2022年03月08日 10:20,115.459,115.489,115.433,115.481
2022年03月08日 10:30,115.482,115.489,115.452,115.462
2022年03月08日 10:40,115.462,115.468,115.436,115.468
2022年03月08日 10:50,115.467,115.504,115.463,115.476
2022年03月08日 11:00,115.476,115.48,115.41,115.414
2022年03月08日 11:10,115.413,115.44,115.402,115.433
2022年03月08日 11:20,115.433,115.441,115.417,115.43
2022年03月08日 11:30,115.43,115.434,115.348,115.368
2022年03月08日 11:40,115.368,115.402,115.354,115.372
2022年03月08日 11:50,115.372,115.405,115.354,115.377
2022年03月08日 12:00,115.378,115.402,115.36,115.398
2022年03月08日 12:10,115.398,115.42,115.396,115.411
2022年03月08日 12:20,115.41,115.444,115.389,115.441
2022年03月08日 12:30,115.441,115.45,115.432,115.436
2022年03月08日 12:40,115.435,115.463,115.411,115.436
2022年03月08日 12:50,115.436,115.445,115.417,115.444
2022年03月08日 13:00,115.444,115.451,115.42,115.433
2022年03月08日 13:10,115.433,115.434,115.392,115.393
2022年03月08日 13:20,115.394,115.417,115.388,115.415
2022年03月08日 13:30,115.416,115.447,115.416,115.428
2022年03月08日 13:40,115.428,115.46,115.426,115.447
2022年03月08日 13:50,115.447,115.455,115.434,115.446
2022年03月08日 14:00,115.445,115.463,115.423,115.462
2022年03月08日 14:10,115.463,115.489,115.445,115.447
2022年03月08日 14:20,115.445,115.455,115.423,115.432
2022年03月08日 14:30,115.431,115.471,115.429,115.468
2022年03月08日 14:40,115.468,115.483,115.462,115.478
2022年03月08日 14:50,115.478,115.501,115.462,115.488
2022年03月08日 15:00,115.489,115.493,115.488,115.49
2022年03月08日 15:00,115.489,115.532,115.47,115.518
2022年03月08日 15:10,115.518,115.53,115.479,115.485
2022年03月08日 15:20,115.485,115.505,115.428,115.453
2022年03月08日 15:30,115.453,115.463,115.426,115.455
2022年03月08日 15:40,115.455,115.46,115.438,115.442
2022年03月08日 15:50,115.442,115.484,115.441,115.475
2022年03月08日 16:00,115.472,115.485,115.443,115.449
2022年03月08日 16:10,115.449,115.452,115.373,115.38
2022年03月08日 16:20,115.381,115.409,115.357,115.403
2022年03月08日 16:30,115.403,115.442,115.38,115.433
2022年03月08日 16:40,115.433,115.447,115.404,115.428
2022年03月08日 16:50,115.431,115.464,115.408,115.443
2022年03月08日 17:00,115.443,115.469,115.376,115.391
2022年03月08日 17:10,115.392,115.443,115.382,115.442
2022年03月08日 17:20,115.442,115.505,115.435,115.492
2022年03月08日 17:30,115.492,115.575,115.483,115.547
2022年03月08日 17:40,115.547,115.563,115.493,115.525
2022年03月08日 17:50,115.525,115.56,115.506,115.545
2022年03月08日 18:00,115.545,115.603,115.538,115.597
2022年03月08日 18:10,115.596,115.63,115.594,115.616
2022年03月08日 18:20,115.616,115.623,115.565,115.575
2022年03月08日 18:30,115.575,115.617,115.574,115.592
2022年03月08日 18:40,115.592,115.596,115.552,115.555
2022年03月08日 18:50,115.555,115.592,115.542,115.589
2022年03月08日 19:00,115.589,115.599,115.546,115.565
2022年03月08日 19:10,115.566,115.593,115.558,115.579
2022年03月08日 19:20,115.579,115.634,115.572,115.627
2022年03月08日 19:30,115.627,115.629,115.583,115.591
2022年03月08日 19:40,115.591,115.602,115.563,115.596
2022年03月08日 19:50,115.596,115.602,115.56,115.588
2022年03月08日 20:00,115.588,115.622,115.58,115.609
2022年03月08日 20:10,115.608,115.661,115.6,115.641
2022年03月08日 20:20,115.641,115.693,115.632,115.688
2022年03月08日 20:30,115.688,115.699,115.631,115.642
2022年03月08日 20:40,115.643,115.673,115.627,115.654
2022年03月08日 20:50,115.655,115.656,115.614,115.631
2022年03月08日 21:00,115.631,115.643,115.588,115.598
2022年03月08日 21:10,115.599,115.683,115.588,115.658
2022年03月08日 21:20,115.657,115.735,115.646,115.73
2022年03月08日 21:30,115.729,115.738,115.701,115.71
2022年03月08日 21:40,115.709,115.745,115.707,115.721
2022年03月08日 21:50,115.721,115.721,115.682,115.715
2022年03月08日 22:00,115.715,115.738,115.666,115.725
2022年03月08日 22:10,115.724,115.731,115.676,115.726
2022年03月08日 22:20,115.725,115.762,115.708,115.754
2022年03月08日 22:30,115.754,115.786,115.738,115.74
2022年03月08日 22:40,115.74,115.768,115.721,115.724
2022年03月08日 22:50,115.724,115.729,115.683,115.692
2022年03月08日 23:00,115.692,115.694,115.644,115.657
2022年03月08日 23:10,115.657,115.716,115.655,115.685
2022年03月08日 23:20,115.685,115.69,115.626,115.656
2022年03月08日 23:30,115.655,115.684,115.591,115.597
2022年03月08日 23:40,115.597,115.606,115.541,115.572
2022年03月08日 23:50,115.57,115.59,115.501,115.531
2022年03月09日 00:00,115.531,115.564,115.473,115.474
2022年03月09日 00:10,115.474,115.491,115.428,115.471
2022年03月09日 00:20,115.47,115.479,115.415,115.431
2022年03月09日 00:30,115.431,115.501,115.43,115.494
2022年03月09日 00:40,115.493,115.509,115.446,115.5
2022年03月09日 00:50,115.5,115.594,115.499,115.582
2022年03月09日 01:00,115.582,115.646,115.581,115.614
2022年03月09日 01:10,115.614,115.689,115.613,115.669
2022年03月09日 01:20,115.669,115.704,115.646,115.702
2022年03月09日 01:30,115.702,115.703,115.655,115.67
2022年03月09日 01:40,115.668,115.682,115.635,115.675
2022年03月09日 01:50,115.675,115.696,115.629,115.636
2022年03月09日 02:00,115.637,115.679,115.634,115.641
2022年03月09日 02:10,115.641,115.7,115.614,115.664
2022年03月09日 02:20,115.664,115.685,115.594,115.604
2022年03月09日 02:30,115.604,115.652,115.593,115.644
2022年03月09日 02:40,115.645,115.674,115.586,115.604
2022年03月09日 02:50,115.604,115.642,115.567,115.595
2022年03月09日 03:00,115.595,115.597,115.594,115.595
2022年03月09日 03:00,115.595,115.634,115.585,115.626
2022年03月09日 03:10,115.627,115.663,115.619,115.642
2022年03月09日 03:20,115.642,115.686,115.629,115.679
2022年03月09日 03:30,115.679,115.733,115.646,115.721
2022年03月09日 03:40,115.721,115.735,115.682,115.708
2022年03月09日 03:50,115.708,115.718,115.691,115.7
2022年03月09日 04:00,115.7,115.718,115.687,115.706
2022年03月09日 04:10,115.706,115.732,115.69,115.696
2022年03月09日 04:20,115.697,115.716,115.69,115.695
2022年03月09日 04:30,115.695,115.743,115.684,115.734
2022年03月09日 04:40,115.734,115.744,115.717,115.722
2022年03月09日 04:50,115.721,115.743,115.707,115.738
2022年03月09日 05:00,115.738,115.738,115.711,115.732
2022年03月09日 05:10,115.731,115.734,115.694,115.715
2022年03月09日 05:20,115.715,115.716,115.684,115.694
2022年03月09日 05:30,115.694,115.694,115.668,115.683
2022年03月09日 05:40,115.683,115.689,115.65,115.653
2022年03月09日 05:50,115.652,115.658,115.613,115.637
2022年03月09日 06:00,115.637,115.671,115.622,115.651
2022年03月09日 06:10,115.651,115.673,115.651,115.656
2022年03月09日 06:20,115.656,115.666,115.619,115.625
2022年03月09日 06:30,115.625,115.649,115.624,115.638
2022年03月09日 06:40,115.638,115.653,115.637,115.644
2022年03月09日 06:50,115.644,115.676,115.544,115.544
2022年03月09日 07:00,115.544,115.709,115.544,115.67
2022年03月09日 07:10,115.67,115.708,115.618,115.618
2022年03月09日 07:20,115.629,115.655,115.629,115.655
2022年03月09日 07:30,115.655,115.665,115.642,115.66
2022年03月09日 07:40,115.66,115.66,115.641,115.654
2022年03月09日 07:50,115.655,115.669,115.646,115.655
2022年03月09日 08:00,115.663,115.702,115.663,115.679
2022年03月09日 08:10,115.679,115.728,115.674,115.72
2022年03月09日 08:20,115.72,115.724,115.702,115.716
2022年03月09日 08:30,115.717,115.72,115.677,115.7
2022年03月09日 08:40,115.7,115.742,115.699,115.716
2022年03月09日 08:50,115.715,115.726,115.706,115.722
2022年03月09日 09:00,115.722,115.758,115.72,115.748
2022年03月09日 09:10,115.747,115.852,115.747,115.82
2022年03月09日 09:20,115.819,115.867,115.806,115.848
2022年03月09日 09:30,115.847,115.847,115.795,115.808
2022年03月09日 09:40,115.809,115.834,115.806,115.826
2022年03月09日 09:50,115.826,115.871,115.818,115.828
2022年03月09日 10:00,115.827,115.884,115.825,115.859
2022年03月09日 10:10,115.859,115.882,115.856,115.879
2022年03月09日 10:20,115.879,115.919,115.875,115.906
2022年03月09日 10:30,115.907,115.907,115.869,115.885
2022年03月09日 10:40,115.885,115.907,115.872,115.902
2022年03月09日 10:50,115.902,115.917,115.871,115.885
2022年03月09日 11:00,115.884,115.897,115.868,115.87
2022年03月09日 11:10,115.87,115.874,115.846,115.854
2022年03月09日 11:20,115.854,115.866,115.831,115.853
2022年03月09日 11:30,115.853,115.878,115.844,115.857
2022年03月09日 11:40,115.857,115.868,115.846,115.852
2022年03月09日 11:50,115.852,115.856,115.819,115.846
2022年03月09日 12:00,115.846,115.858,115.816,115.817
2022年03月09日 12:10,115.816,115.821,115.798,115.804
2022年03月09日 12:20,115.804,115.826,115.802,115.825
2022年03月09日 12:30,115.825,115.834,115.818,115.825
2022年03月09日 12:40,115.825,115.828,115.811,115.826
2022年03月09日 12:50,115.825,115.854,115.82,115.831
2022年03月09日 13:00,115.831,115.857,115.828,115.855
2022年03月09日 13:10,115.855,115.857,115.837,115.854
2022年03月09日 13:20,115.855,115.856,115.816,115.843
2022年03月09日 13:30,115.843,115.854,115.823,115.832
2022年03月09日 13:40,115.831,115.835,115.804,115.818
2022年03月09日 13:50,115.819,115.824,115.803,115.816
2022年03月09日 14:00,115.817,115.819,115.791,115.802
2022年03月09日 14:10,115.802,115.818,115.799,115.808
2022年03月09日 14:20,115.807,115.812,115.752,115.777
2022年03月09日 14:30,115.777,115.781,115.758,115.761
2022年03月09日 14:40,115.762,115.785,115.76,115.773
2022年03月09日 14:50,115.773,115.773,115.771,115.772
2022年03月09日 22:30,115.751,115.802,115.749,115.8
2022年03月09日 22:40,115.8,115.831,115.797,115.819
2022年03月09日 22:50,115.819,115.821,115.732,115.762
2022年03月09日 23:00,115.762,115.82,115.711,115.735
2022年03月09日 23:10,115.737,115.755,115.553,115.585
2022年03月09日 23:20,115.586,115.726,115.577,115.709
2022年03月09日 23:30,115.709,115.765,115.698,115.7
2022年03月09日 23:40,115.701,115.729,115.652,115.72
2022年03月09日 23:50,115.72,115.767,115.692,115.752
2022年03月10日 00:00,115.753,115.761,115.707,115.752
2022年03月10日 00:10,115.751,115.781,115.707,115.718
2022年03月10日 00:20,115.717,115.781,115.717,115.736
2022年03月10日 00:30,115.738,115.76,115.669,115.713
2022年03月10日 00:40,115.713,115.741,115.694,115.737
2022年03月10日 00:50,115.737,115.833,115.726,115.808
2022年03月10日 01:00,115.808,115.827,115.745,115.769
2022年03月10日 01:10,115.77,115.795,115.729,115.747
2022年03月10日 01:20,115.747,115.778,115.686,115.771
2022年03月10日 01:30,115.771,115.794,115.76,115.79
2022年03月10日 01:40,115.788,115.815,115.781,115.808
2022年03月10日 01:50,115.808,115.87,115.791,115.865
2022年03月10日 02:00,115.865,115.874,115.821,115.835
2022年03月10日 02:10,115.836,115.877,115.807,115.876
2022年03月10日 02:20,115.876,115.882,115.848,115.854
2022年03月10日 02:30,115.853,115.863,115.768,115.781
2022年03月10日 02:40,115.781,115.799,115.753,115.781
2022年03月10日 02:50,115.781,115.802,115.764,115.787
2022年03月10日 03:00,115.787,115.822,115.765,115.822
2022年03月10日 03:10,115.822,115.841,115.814,115.82
2022年03月10日 03:20,115.82,115.849,115.81,115.842
2022年03月10日 03:30,115.842,115.862,115.823,115.848
2022年03月10日 03:40,115.849,115.891,115.848,115.876
2022年03月10日 03:50,115.876,115.896,115.868,115.88
2022年03月10日 04:00,115.879,115.889,115.871,115.872
2022年03月10日 04:10,115.873,115.875,115.853,115.853
2022年03月10日 04:20,115.853,115.874,115.851,115.86
2022年03月10日 04:30,115.86,115.867,115.846,115.851
2022年03月10日 04:40,115.851,115.853,115.824,115.829
2022年03月10日 04:50,115.83,115.856,115.816,115.844
2022年03月10日 05:00,115.843,115.848,115.792,115.795
2022年03月10日 05:10,115.795,115.83,115.785,115.81
2022年03月10日 05:20,115.809,115.816,115.795,115.801
2022年03月10日 05:30,115.801,115.817,115.794,115.807
2022年03月10日 05:40,115.807,115.865,115.801,115.851
2022年03月10日 05:50,115.851,115.862,115.798,115.802
2022年03月10日 06:00,115.802,115.836,115.799,115.818
2022年03月10日 06:10,115.818,115.867,115.805,115.839
2022年03月10日 06:20,115.84,115.863,115.833,115.85
2022年03月10日 06:30,115.85,115.867,115.833,115.865
2022年03月10日 06:40,115.865,115.873,115.851,115.861
2022年03月10日 06:50,115.861,115.864,115.775,115.83
2022年03月10日 07:00,115.769,115.851,115.766,115.851
2022年03月10日 07:10,115.851,115.856,115.848,115.849
2022年03月10日 07:20,115.849,115.849,115.827,115.842
2022年03月10日 07:30,115.843,115.86,115.843,115.859
2022年03月10日 07:40,115.858,115.87,115.848,115.87
2022年03月10日 07:50,115.87,115.87,115.865,115.865
2022年03月10日 08:00,115.872,115.874,115.841,115.85
2022年03月10日 08:10,115.85,115.902,115.845,115.892
2022年03月10日 08:20,115.89,115.915,115.871,115.9
2022年03月10日 08:30,115.899,115.916,115.896,115.903
2022年03月10日 08:40,115.903,115.933,115.902,115.932
2022年03月10日 08:50,115.931,115.943,115.899,115.905
2022年03月10日 09:00,115.906,115.924,115.879,115.92
2022年03月10日 09:10,115.921,115.937,115.894,115.922
2022年03月10日 09:20,115.922,115.936,115.916,115.922
2022年03月10日 09:30,115.922,115.965,115.92,115.954
2022年03月10日 09:40,115.954,115.986,115.952,115.986
2022年03月10日 09:50,115.986,116.008,115.947,115.967
2022年03月10日 10:00,115.966,115.975,115.946,115.975
2022年03月10日 10:10,115.975,116.101,115.973,116.05
2022年03月10日 10:20,116.05,116.106,116.046,116.058
2022年03月10日 10:30,116.058,116.089,116.031,116.041
2022年03月10日 10:40,116.041,116.046,116.013,116.029
2022年03月10日 10:50,116.029,116.049,116.023,116.045
2022年03月10日 11:00,116.046,116.073,116.036,116.06
2022年03月10日 11:10,116.06,116.083,116.054,116.075
2022年03月10日 11:20,116.076,116.083,116.052,116.056
2022年03月10日 11:30,116.055,116.064,116.042,116.064
2022年03月10日 11:40,116.063,116.077,116.056,116.068
2022年03月10日 11:50,116.069,116.098,116.063,116.068
2022年03月10日 12:00,116.067,116.123,116.065,116.108
2022年03月10日 12:10,116.108,116.148,116.108,116.146
2022年03月10日 12:20,116.146,116.159,116.143,116.148
2022年03月10日 12:30,116.148,116.186,116.139,116.176
2022年03月10日 12:40,116.175,116.177,116.139,116.163
2022年03月10日 12:50,116.163,116.192,116.151,116.164
2022年03月10日 13:00,116.164,116.165,116.139,116.145
2022年03月10日 13:10,116.145,116.148,116.101,116.145
2022年03月10日 13:20,116.145,116.16,116.121,116.15
2022年03月10日 13:30,116.15,116.156,116.098,116.102
2022年03月10日 13:40,116.102,116.119,116.099,116.118
2022年03月10日 13:50,116.118,116.146,116.116,116.142
2022年03月10日 14:00,116.142,116.151,116.129,116.13
2022年03月10日 14:10,116.131,116.151,116.123,116.136
2022年03月10日 14:20,116.136,116.138,116.113,116.13
2022年03月10日 14:30,116.131,116.132,116.11,116.116
2022年03月10日 14:40,116.116,116.143,116.106,116.131
2022年03月10日 14:50,116.132,116.132,116.074,116.088
2022年03月10日 15:00,116.088,116.092,116.088,116.091
2022年03月10日 15:00,116.088,116.098,116.06,116.071
2022年03月10日 15:10,116.071,116.08,116.052,116.054
2022年03月10日 15:20,116.054,116.056,116.005,116.023
2022年03月10日 15:30,116.026,116.049,116.026,116.041
2022年03月10日 15:40,116.04,116.049,116.031,116.043
2022年03月10日 15:50,116.044,116.051,116.023,116.023
2022年03月10日 16:00,116.024,116.025,115.981,116.008
2022年03月10日 16:10,116.008,116.017,115.942,115.964
2022年03月10日 16:20,115.964,116.007,115.956,115.966
2022年03月10日 16:30,115.966,115.984,115.933,115.935
2022年03月10日 16:40,115.933,115.949,115.921,115.928
2022年03月10日 16:50,115.929,115.947,115.916,115.918
2022年03月10日 17:00,115.918,115.937,115.879,115.918
2022年03月10日 17:10,115.918,115.938,115.858,115.928
2022年03月10日 17:20,115.928,115.932,115.822,115.835
2022年03月10日 17:30,115.834,115.877,115.809,115.875
2022年03月10日 17:40,115.876,115.9,115.859,115.86
2022年03月10日 17:50,115.86,115.896,115.813,115.881
2022年03月10日 18:00,115.88,115.938,115.817,115.915
2022年03月10日 18:10,115.915,115.974,115.915,115.964
2022年03月10日 18:20,115.963,115.974,115.909,115.912
2022年03月10日 18:30,115.911,115.969,115.905,115.93
2022年03月10日 18:40,115.931,115.972,115.911,115.951
2022年03月10日 18:50,115.951,115.989,115.887,115.935
2022年03月10日 19:00,115.934,115.957,115.908,115.916
2022年03月10日 19:10,115.917,115.985,115.901,115.977
2022年03月10日 19:20,115.976,115.993,115.958,115.963
2022年03月10日 19:30,115.963,115.995,115.95,115.976
2022年03月10日 19:40,115.976,116.031,115.974,116.026
2022年03月10日 19:50,116.026,116.028,115.979,115.983
2022年03月10日 20:00,115.983,115.994,115.932,115.948
2022年03月10日 20:10,115.947,115.976,115.945,115.963
2022年03月10日 20:20,115.964,115.964,115.933,115.941
2022年03月10日 20:30,115.941,115.965,115.931,115.947
2022年03月10日 20:40,115.948,115.958,115.908,115.924
2022年03月10日 20:50,115.924,115.953,115.909,115.937
2022年03月10日 21:00,115.937,115.968,115.93,115.967
2022年03月10日 21:10,115.966,115.976,115.942,115.966
2022年03月10日 21:20,115.966,115.966,115.936,115.951
2022年03月10日 21:30,115.951,115.961,115.912,115.918
2022年03月10日 21:40,115.918,115.938,115.84,115.898
2022年03月10日 21:50,115.898,115.925,115.848,115.913
2022年03月10日 22:00,115.913,115.95,115.895,115.946
2022年03月10日 22:10,115.946,115.967,115.928,115.948
2022年03月10日 22:20,115.948,115.98,115.843,115.858
2022年03月10日 22:30,115.987,115.987,115.848,115.936
2022年03月10日 22:40,115.936,116.067,115.934,116.008
2022年03月10日 22:50,116.008,116.083,116.007,116.073
2022年03月10日 23:00,116.073,116.104,116.05,116.085
2022年03月10日 23:10,116.087,116.129,116.065,116.103
2022年03月10日 23:20,116.103,116.131,116.066,116.107
2022年03月10日 23:30,116.107,116.174,116.102,116.145
2022年03月10日 23:40,116.144,116.176,116.121,116.154
2022年03月10日 23:50,116.154,116.19,116.144,116.176
2022年03月11日 00:00,116.176,116.185,116.133,116.139
2022年03月11日 00:10,116.139,116.182,116.138,116.158
2022年03月11日 00:20,116.158,116.172,116.054,116.055
2022年03月11日 00:30,116.056,116.085,115.956,115.992
2022年03月11日 00:40,115.991,116.028,115.949,115.954
2022年03月11日 00:50,115.954,116.003,115.922,115.971
2022年03月11日 01:00,115.971,115.996,115.943,115.995
2022年03月11日 01:10,115.995,116.041,115.976,116.024
2022年03月11日 01:20,116.025,116.067,116.024,116.057
2022年03月11日 01:30,116.057,116.069,116.034,116.05
2022年03月11日 01:40,116.05,116.069,116.029,116.035
2022年03月11日 01:50,116.035,116.055,116.021,116.045
2022年03月11日 02:00,116.044,116.047,116.025,116.039
2022年03月11日 02:10,116.039,116.096,116.039,116.094
2022年03月11日 02:20,116.094,116.134,116.083,116.121
2022年03月11日 02:30,116.121,116.121,116.094,116.118
2022年03月11日 02:40,116.12,116.132,116.095,116.112
2022年03月11日 02:50,116.112,116.119,116.08,116.116
2022年03月11日 03:00,116.115,116.115,116.11,116.111
2022年03月11日 03:00,116.115,116.136,116.078,116.106
2022年03月11日 03:10,116.106,116.141,116.103,116.14
2022年03月11日 03:20,116.139,116.147,116.107,116.115
2022年03月11日 03:30,116.114,116.12,116.091,116.102
2022年03月11日 03:40,116.103,116.113,116.1,116.101
2022年03月11日 03:50,116.101,116.104,116.094,116.102
2022年03月11日 04:00,116.102,116.106,116.079,116.089
2022年03月11日 04:10,116.089,116.106,116.082,116.098
2022年03月11日 04:20,116.098,116.1,116.081,116.084
2022年03月11日 04:30,116.085,116.093,116.056,116.076
2022年03月11日 04:40,116.076,116.096,116.073,116.091
2022年03月11日 04:50,116.091,116.101,116.075,116.096
2022年03月11日 05:00,116.097,116.099,116.049,116.053
2022年03月11日 05:10,116.053,116.068,116.046,116.064
2022年03月11日 05:20,116.064,116.068,116.043,116.057
2022年03月11日 05:30,116.059,116.079,116.053,116.078
2022年03月11日 05:40,116.078,116.08,116.055,116.061
2022年03月11日 05:50,116.062,116.123,116.054,116.109
2022年03月11日 06:00,116.109,116.145,116.108,116.118
2022年03月11日 06:10,116.119,116.13,116.102,116.105
2022年03月11日 06:20,116.105,116.126,116.104,116.123
2022年03月11日 06:30,116.123,116.126,116.112,116.117
2022年03月11日 06:40,116.118,116.128,116.112,116.122
2022年03月11日 06:50,116.123,116.137,116.116,116.132
2022年03月11日 07:00,116.132,116.137,116.074,116.128
2022年03月11日 07:10,116.128,116.134,116.122,116.13
2022年03月11日 07:20,116.126,116.132,116.119,116.126
2022年03月11日 07:30,116.126,116.133,116.117,116.126
2022年03月11日 07:40,116.124,116.129,116.124,116.129
2022年03月11日 07:50,116.129,116.137,116.116,116.13
2022年03月11日 08:00,116.13,116.198,116.124,116.161
2022年03月11日 08:10,116.161,116.169,116.111,116.162
2022年03月11日 08:20,116.162,116.183,116.155,116.18
2022年03月11日 08:30,116.18,116.209,116.158,116.162
2022年03月11日 08:40,116.162,116.206,116.153,116.203
2022年03月11日 08:50,116.203,116.204,116.169,116.177
2022年03月11日 09:00,116.177,116.189,116.141,116.176
2022年03月11日 09:10,116.175,116.189,116.153,116.188
2022年03月11日 09:20,116.187,116.201,116.165,116.2
2022年03月11日 09:30,116.201,116.239,116.201,116.237
2022年03月11日 09:40,116.238,116.271,116.231,116.269
2022年03月11日 09:50,116.269,116.37,116.251,116.315
2022年03月11日 10:00,116.315,116.343,116.271,116.311
2022年03月11日 10:10,116.311,116.312,116.251,116.253
2022年03月11日 10:20,116.252,116.316,116.241,116.295
2022年03月11日 10:30,116.295,116.297,116.227,116.25
2022年03月11日 10:40,116.251,116.273,116.22,116.251
2022年03月11日 10:50,116.251,116.289,116.248,116.286
2022年03月11日 11:00,116.285,116.287,116.25,116.253
2022年03月11日 11:10,116.253,116.261,116.225,116.254
2022年03月11日 11:20,116.253,116.273,116.24,116.268
2022年03月11日 11:30,116.268,116.276,116.255,116.261
2022年03月11日 11:40,116.261,116.262,116.245,116.247
2022年03月11日 11:50,116.247,116.266,116.227,116.251
2022年03月11日 12:00,116.251,116.282,116.239,116.281
2022年03月11日 12:10,116.281,116.302,116.281,116.296
2022年03月11日 12:20,116.296,116.322,116.294,116.321
2022年03月11日 12:30,116.319,116.369,116.31,116.353
2022年03月11日 12:40,116.352,116.473,116.35,116.454
2022年03月11日 12:50,116.454,116.467,116.426,116.445
2022年03月11日 13:00,116.445,116.465,116.406,116.449
2022年03月11日 13:10,116.449,116.531,116.442,116.476
2022年03月11日 13:20,116.476,116.529,116.476,116.491
2022年03月11日 13:30,116.492,116.515,116.488,116.499
2022年03月11日 13:40,116.499,116.549,116.496,116.542
2022年03月11日 13:50,116.541,116.562,116.527,116.556
2022年03月11日 14:00,116.556,116.558,116.505,116.545
2022年03月11日 14:10,116.545,116.662,116.54,116.644
2022年03月11日 14:20,116.644,116.691,116.638,116.691
2022年03月11日 14:30,116.69,116.742,116.69,116.697
2022年03月11日 14:40,116.696,116.741,116.674,116.732
2022年03月11日 14:50,116.732,116.735,116.685,116.688
2022年03月11日 15:00,116.686,116.688,116.683,116.685
2022年03月11日 15:00,116.686,116.695,116.654,116.679
2022年03月11日 15:10,116.678,116.678,116.575,116.614
2022年03月11日 15:20,116.614,116.658,116.597,116.653
2022年03月11日 15:30,116.653,116.678,116.646,116.667
2022年03月11日 15:40,116.667,116.676,116.648,116.663
2022年03月11日 15:50,116.663,116.722,116.642,116.713
2022年03月11日 16:00,116.713,116.791,116.684,116.769
2022年03月11日 16:10,116.769,116.776,116.721,116.737
2022年03月11日 16:20,116.737,116.796,116.728,116.778
2022年03月11日 16:30,116.778,116.794,116.718,116.772
2022年03月11日 16:40,116.771,116.771,116.712,116.717
2022年03月11日 16:50,116.718,116.725,116.67,116.715
2022年03月11日 17:00,116.715,116.779,116.696,116.768
2022年03月11日 17:10,116.769,116.851,116.76,116.836
2022年03月11日 17:20,116.836,116.849,116.79,116.817
2022年03月11日 17:30,116.817,116.876,116.801,116.863
2022年03月11日 17:40,116.863,116.968,116.839,116.963
2022年03月11日 17:50,116.96,116.977,116.907,116.954
2022年03月11日 18:00,116.954,117.044,116.947,117.018
2022年03月11日 18:10,117.018,117.056,116.905,116.945
2022年03月11日 18:20,116.945,116.986,116.942,116.977
2022年03月11日 18:30,116.977,117.011,116.977,116.993
2022年03月11日 18:40,116.992,117.026,116.953,116.959
2022年03月11日 18:50,116.959,116.96,116.915,116.946
2022年03月11日 19:00,116.946,116.953,116.86,116.863
2022年03月11日 19:10,116.864,116.94,116.864,116.92
2022年03月11日 19:20,116.921,116.926,116.803,116.83
2022年03月11日 19:30,116.829,116.863,116.792,116.856
2022年03月11日 19:40,116.856,116.872,116.837,116.862
2022年03月11日 19:50,116.862,116.894,116.857,116.886
2022年03月11日 20:00,116.885,116.921,116.863,116.912
2022年03月11日 20:10,116.912,116.935,116.908,116.933
2022年03月11日 20:20,116.932,116.994,116.791,116.902
2022年03月11日 20:30,116.901,116.942,116.866,116.896
2022年03月11日 20:40,116.899,116.955,116.864,116.899
2022年03月11日 20:50,116.899,116.918,116.871,116.888
2022年03月11日 21:00,116.887,116.946,116.878,116.927
2022年03月11日 21:10,116.928,116.957,116.877,116.878
2022年03月11日 21:20,116.878,116.892,116.84,116.873
2022年03月11日 21:30,116.872,116.875,116.815,116.826
2022年03月11日 21:40,116.826,116.885,116.816,116.877
2022年03月11日 21:50,116.877,116.914,116.863,116.879
2022年03月11日 22:00,116.879,116.88,116.818,116.835
2022年03月11日 22:10,116.835,116.888,116.816,116.849
2022年03月11日 22:20,116.849,116.885,116.833,116.88
2022年03月11日 22:30,116.879,116.901,116.851,116.893
2022年03月11日 22:40,116.893,116.967,116.877,116.912
2022年03月11日 22:50,116.913,116.965,116.91,116.913
2022年03月11日 23:00,116.913,116.954,116.898,116.915
2022年03月11日 23:10,116.916,116.952,116.91,116.923
2022年03月11日 23:20,116.923,116.929,116.896,116.928
2022年03月11日 23:30,116.928,116.939,116.853,116.875
2022年03月11日 23:40,116.875,116.948,116.859,116.917
2022年03月11日 23:50,116.917,116.93,116.862,116.895
2022年03月12日 00:00,116.892,116.916,116.878,116.882
2022年03月12日 00:10,116.879,116.906,116.866,116.9
2022年03月12日 00:20,116.9,116.949,116.879,116.899
2022年03月12日 00:30,116.899,116.907,116.866,116.902
2022年03月12日 00:40,116.902,116.944,116.888,116.928
2022年03月12日 00:50,116.928,116.994,116.918,116.989
2022年03月12日 01:00,116.989,117.063,116.971,117.061
2022年03月12日 01:10,117.062,117.095,117.049,117.086
2022年03月12日 01:20,117.086,117.12,117.076,117.11
2022年03月12日 01:30,117.11,117.18,117.094,117.159
2022年03月12日 01:40,117.159,117.162,117.114,117.122
2022年03月12日 01:50,117.123,117.142,117.085,117.085
2022年03月12日 02:00,117.085,117.124,117.067,117.124
2022年03月12日 02:10,117.124,117.169,117.122,117.168
2022年03月12日 02:20,117.169,117.187,117.159,117.163
2022年03月12日 02:30,117.163,117.191,117.155,117.163
2022年03月12日 02:40,117.163,117.19,117.156,117.163
