日付,始値,高値,安値,終値
2022年03月01日 12:40,115.171,115.173,115.139,115.145
2022年03月01日 12:50,115.146,115.148,115.128,115.146
2022年03月01日 13:00,115.146,115.177,115.139,115.169
2022年03月01日 13:10,115.169,115.174,115.147,115.158
2022年03月01日 13:20,115.158,115.173,115.156,115.165
2022年03月01日 13:30,115.164,115.166,115.128,115.133
2022年03月01日 13:40,115.133,115.144,115.113,115.131
2022年03月01日 13:50,115.132,115.136,115.111,115.134
2022年03月01日 14:00,115.133,115.154,115.118,115.136
2022年03月01日 14:10,115.136,115.136,115.068,115.069
2022年03月01日 14:20,115.069,115.079,115.047,115.063
2022年03月01日 14:30,115.062,115.062,115.012,115.03
2022年03月01日 14:40,115.03,115.046,115.02,115.023
2022年03月01日 14:50,115.023,115.064,115.01,115.051
2022年03月01日 15:00,115.051,115.109,115.051,115.077
2022年03月01日 15:10,115.077,115.098,115.07,115.091
2022年03月01日 15:20,115.092,115.105,115.067,115.091
2022年03月01日 15:30,115.092,115.119,115.081,115.114
2022年03月01日 15:40,115.114,115.114,115.062,115.067
2022年03月01日 15:50,115.067,115.082,115.039,115.049
2022年03月01日 16:00,115.048,115.051,115.001,115.018
2022年03月01日 16:10,115.018,115.029,114.989,115.02
2022年03月01日 16:20,115.02,115.048,114.998,115.043
2022年03月01日 16:30,115.042,115.043,115.01,115.042
2022年03月01日 16:40,115.042,115.072,115.03,115.032
2022年03月01日 16:50,115.032,115.058,115.03,115.03
2022年03月01日 17:00,115.03,115.063,114.947,115.048
2022年03月01日 17:10,115.048,115.059,114.953,114.96
2022年03月01日 17:20,114.96,114.988,114.942,114.966
2022年03月01日 17:30,114.966,114.997,114.915,114.934
2022年03月01日 17:40,114.934,114.962,114.931,114.947
2022年03月01日 17:50,114.947,114.968,114.921,114.922
2022年03月01日 18:00,114.921,114.953,114.89,114.896
2022年03月01日 18:10,114.896,114.905,114.84,114.861
2022年03月01日 18:20,114.861,114.867,114.801,114.816
2022年03月01日 18:30,114.816,114.851,114.761,114.804
2022年03月01日 18:40,114.804,114.805,114.744,114.786
2022年03月01日 18:50,114.786,114.795,114.745,114.774
2022年03月01日 19:00,114.774,114.807,114.768,114.792
2022年03月01日 19:10,114.793,114.838,114.788,114.834
2022年03月01日 19:20,114.834,114.886,114.802,114.816
2022年03月01日 19:30,114.816,114.862,114.788,114.858
2022年03月01日 19:40,114.858,114.885,114.835,114.874
2022年03月01日 19:50,114.874,114.878,114.845,114.853
2022年03月01日 20:00,114.853,114.858,114.763,114.781
2022年03月01日 20:10,114.781,114.83,114.741,114.81
2022年03月01日 20:20,114.81,114.853,114.779,114.792
2022年03月01日 20:30,114.792,114.851,114.765,114.836
2022年03月01日 20:40,114.836,114.847,114.775,114.795
2022年03月01日 20:50,114.796,114.806,114.768,114.803
2022年03月01日 21:00,114.803,114.817,114.711,114.722
2022年03月01日 21:10,114.722,114.785,114.703,114.771
2022年03月01日 21:20,114.771,114.812,114.736,114.811
2022年03月01日 21:30,114.812,114.839,114.772,114.776
2022年03月01日 21:40,114.776,114.852,114.769,114.845
2022年03月01日 21:50,114.845,114.874,114.81,114.823
2022年03月01日 22:00,114.822,114.84,114.77,114.795
2022年03月01日 22:10,114.795,114.816,114.753,114.774
2022年03月01日 22:20,114.773,114.906,114.758,114.9
2022年03月01日 22:30,114.9,114.934,114.869,114.914
2022年03月01日 22:40,114.914,114.941,114.889,114.938
2022年03月01日 22:50,114.938,114.946,114.899,114.909
2022年03月01日 23:00,114.908,114.913,114.881,114.901
2022年03月01日 23:10,114.901,114.904,114.833,114.834
2022年03月01日 23:20,114.834,114.881,114.819,114.865
2022年03月01日 23:30,114.864,114.899,114.814,114.872
2022年03月01日 23:40,114.872,114.903,114.836,114.879
2022年03月01日 23:50,114.881,114.923,114.861,114.88
2022年03月02日 00:00,114.879,114.944,114.85,114.861
2022年03月02日 00:10,114.858,114.899,114.815,114.877
2022年03月02日 00:20,114.877,114.877,114.816,114.825
2022年03月02日 00:30,114.826,114.882,114.817,114.86
2022年03月02日 00:40,114.861,114.876,114.748,114.801
2022年03月02日 00:50,114.801,114.84,114.759,114.796
2022年03月02日 01:00,114.797,114.902,114.79,114.87
2022年03月02日 01:10,114.871,114.913,114.854,114.887
2022年03月02日 01:20,114.887,114.91,114.854,114.899
2022年03月02日 01:30,114.899,114.919,114.82,114.841
2022年03月02日 01:40,114.84,114.884,114.788,114.859
2022年03月02日 01:50,114.859,114.909,114.856,114.887
2022年03月02日 02:00,114.887,114.906,114.85,114.87
2022年03月02日 02:10,114.871,114.888,114.833,114.839
2022年03月02日 02:20,114.84,114.879,114.805,114.871
2022年03月02日 02:30,114.871,114.879,114.816,114.825
2022年03月02日 02:40,114.824,114.837,114.773,114.777
2022年03月02日 02:50,114.778,114.835,114.763,114.834
2022年03月02日 03:00,114.834,114.835,114.831,114.833
2022年03月02日 03:00,114.834,114.853,114.798,114.804
2022年03月02日 03:10,114.804,114.818,114.768,114.784
2022年03月02日 03:20,114.784,114.789,114.755,114.761
2022年03月02日 03:30,114.761,114.77,114.739,114.746
2022年03月02日 03:40,114.746,114.748,114.688,114.73
2022年03月02日 03:50,114.73,114.742,114.709,114.721
2022年03月02日 04:00,114.721,114.782,114.714,114.776
2022年03月02日 04:10,114.777,114.815,114.773,114.796
2022年03月02日 04:20,114.795,114.823,114.793,114.809
2022年03月02日 04:30,114.809,114.813,114.768,114.778
2022年03月02日 04:40,114.777,114.867,114.764,114.857
2022年03月02日 04:50,114.857,114.905,114.825,114.853
2022年03月02日 05:00,114.853,114.904,114.839,114.897
2022年03月02日 05:10,114.897,114.909,114.867,114.871
2022年03月02日 05:20,114.871,114.894,114.863,114.866
2022年03月02日 05:30,114.865,114.902,114.859,114.885
2022年03月02日 05:40,114.886,114.888,114.818,114.821
2022年03月02日 05:50,114.821,114.841,114.811,114.819
2022年03月02日 06:00,114.819,114.835,114.797,114.816
2022年03月02日 06:10,114.815,114.852,114.809,114.835
2022年03月02日 06:20,114.835,114.863,114.834,114.846
2022年03月02日 06:30,114.846,114.87,114.838,114.861
2022年03月02日 06:40,114.861,114.889,114.859,114.887
2022年03月02日 06:50,114.887,114.921,114.866,114.883
2022年03月02日 07:00,114.883,114.893,114.878,114.893
2022年03月02日 07:10,114.893,114.893,114.882,114.893
2022年03月02日 07:20,114.883,114.896,114.876,114.896
2022年03月02日 07:30,114.897,114.899,114.877,114.889
2022年03月02日 07:40,114.89,114.892,114.879,114.889
2022年03月02日 07:50,114.889,114.902,114.889,114.902
2022年03月02日 08:00,114.896,114.909,114.885,114.885
2022年03月02日 08:10,114.885,114.895,114.854,114.887
2022年03月02日 08:20,114.888,114.89,114.793,114.827
2022年03月02日 08:30,114.827,114.873,114.816,114.863
2022年03月02日 08:40,114.862,114.871,114.849,114.858
2022年03月02日 08:50,114.857,114.86,114.809,114.838
2022年03月02日 09:00,114.838,114.842,114.794,114.824
2022年03月02日 09:10,114.824,114.834,114.788,114.825
2022年03月02日 09:20,114.825,114.882,114.809,114.875
2022年03月02日 09:30,114.876,114.908,114.863,114.888
2022年03月02日 09:40,114.888,114.936,114.885,114.925
2022年03月02日 09:50,114.925,115.02,114.913,114.988
2022年03月02日 10:00,114.987,115.074,114.975,115.024
2022年03月02日 10:10,115.025,115.059,115.015,115.016
2022年03月02日 10:20,115.017,115.041,114.998,115.029
2022年03月02日 10:30,115.027,115.03,114.998,115.001
2022年03月02日 10:40,115.001,115.011,114.982,114.987
2022年03月02日 10:50,114.987,115.024,114.986,114.998
2022年03月02日 11:00,114.998,115.024,114.981,114.982
2022年03月02日 11:10,114.983,115.022,114.982,115.008
2022年03月02日 11:20,115.007,115.036,114.986,115.011
2022年03月02日 11:30,115.011,115.053,115.005,115.018
2022年03月02日 11:40,115.018,115.024,114.963,114.973
2022年03月02日 11:50,114.972,115.009,114.971,114.991
2022年03月02日 12:00,114.978,115.01,114.978,115.006
2022年03月02日 12:10,115.006,115.045,115.006,115.024
2022年03月02日 12:20,115.024,115.049,115.021,115.043
2022年03月02日 12:30,115.043,115.057,115.02,115.022
2022年03月02日 12:40,115.023,115.027,115.008,115.016
2022年03月02日 12:50,115.016,115.04,115.011,115.036
2022年03月02日 13:00,115.036,115.041,115.023,115.029
2022年03月02日 13:10,115.03,115.037,115.01,115.026
2022年03月02日 13:20,115.026,115.043,115.024,115.037
2022年03月02日 13:30,115.038,115.059,115.038,115.043
2022年03月02日 13:40,115.045,115.054,115.041,115.049
2022年03月02日 13:50,115.049,115.063,115.036,115.038
2022年03月02日 14:00,115.037,115.053,115.029,115.045
2022年03月02日 14:10,115.046,115.079,115.037,115.068
2022年03月02日 14:20,115.068,115.078,115.048,115.068
2022年03月02日 14:30,115.068,115.082,115.059,115.076
2022年03月02日 14:40,115.076,115.101,115.076,115.09
2022年03月02日 14:50,115.09,115.09,115.089,115.089
2022年03月02日 14:50,115.09,115.103,115.054,115.056
2022年03月02日 15:00,115.057,115.071,115.021,115.041
2022年03月02日 15:10,115.041,115.071,115.038,115.069
2022年03月02日 15:20,115.07,115.098,115.069,115.083
2022年03月02日 15:30,115.083,115.136,115.082,115.134
2022年03月02日 15:40,115.134,115.17,115.131,115.149
2022年03月02日 15:50,115.149,115.172,115.137,115.143
2022年03月02日 16:00,115.142,115.156,115.097,115.098
2022年03月02日 16:10,115.098,115.139,115.092,115.123
2022年03月02日 16:20,115.123,115.163,115.099,115.109
2022年03月02日 16:30,115.109,115.137,115.093,115.113
2022年03月02日 16:40,115.113,115.143,115.107,115.134
2022年03月02日 16:50,115.134,115.168,115.107,115.15
2022年03月02日 17:00,115.151,115.233,115.146,115.181
2022年03月02日 17:10,115.181,115.237,115.178,115.215
2022年03月02日 17:20,115.215,115.243,115.209,115.217
2022年03月02日 17:30,115.217,115.265,115.183,115.242
2022年03月02日 17:40,115.241,115.255,115.199,115.219
2022年03月02日 17:50,115.218,115.22,115.145,115.189
2022年03月02日 18:00,115.189,115.241,115.155,115.218
2022年03月02日 18:10,115.218,115.228,115.187,115.198
2022年03月02日 18:20,115.198,115.201,115.099,115.103
2022年03月02日 18:30,115.103,115.243,115.085,115.178
2022年03月02日 18:40,115.178,115.224,115.155,115.202
2022年03月02日 18:50,115.202,115.203,115.158,115.196
2022年03月02日 19:00,115.196,115.245,115.193,115.224
2022年03月02日 19:10,115.224,115.267,115.201,115.255
2022年03月02日 19:20,115.255,115.277,115.211,115.23
2022年03月02日 19:30,115.229,115.285,115.211,115.279
2022年03月02日 19:40,115.279,115.286,115.24,115.243
2022年03月02日 19:50,115.243,115.282,115.239,115.272
2022年03月02日 20:00,115.273,115.274,115.223,115.237
2022年03月02日 20:10,115.237,115.27,115.232,115.264
2022年03月02日 20:20,115.264,115.266,115.206,115.23
2022年03月02日 20:30,115.23,115.276,115.217,115.24
2022年03月02日 20:40,115.24,115.274,115.227,115.243
2022年03月02日 20:50,115.244,115.262,115.227,115.242
2022年03月02日 21:00,115.243,115.267,115.237,115.245
2022年03月02日 21:10,115.245,115.391,115.232,115.372
2022年03月02日 21:20,115.372,115.377,115.343,115.352
2022年03月02日 21:30,115.352,115.354,115.272,115.304
2022年03月02日 21:40,115.303,115.327,115.291,115.294
2022年03月02日 21:50,115.295,115.327,115.278,115.28
2022年03月02日 22:00,115.28,115.33,115.257,115.309
2022年03月02日 22:10,115.309,115.406,115.279,115.373
2022年03月02日 22:20,115.366,115.411,115.358,115.388
2022年03月02日 22:30,115.388,115.428,115.343,115.39
2022年03月02日 22:40,115.39,115.407,115.352,115.383
2022年03月02日 22:50,115.384,115.398,115.346,115.392
2022年03月02日 23:00,115.393,115.43,115.36,115.414
2022年03月02日 23:10,115.414,115.429,115.365,115.383
2022年03月02日 23:20,115.383,115.411,115.375,115.376
2022年03月02日 23:30,115.377,115.483,115.375,115.48
2022年03月02日 23:40,115.481,115.523,115.456,115.502
2022年03月02日 23:50,115.502,115.506,115.441,115.469
2022年03月03日 00:00,115.469,115.525,115.45,115.452
2022年03月03日 00:10,115.452,115.453,115.402,115.416
2022年03月03日 00:20,115.417,115.43,115.243,115.288
2022年03月03日 00:30,115.287,115.471,115.284,115.428
2022年03月03日 00:40,115.428,115.511,115.425,115.498
2022年03月03日 00:50,115.498,115.569,115.49,115.562
2022年03月03日 01:00,115.56,115.656,115.551,115.624
2022年03月03日 01:10,115.625,115.683,115.623,115.668
2022年03月03日 01:20,115.668,115.683,115.614,115.626
2022年03月03日 01:30,115.628,115.661,115.525,115.59
2022年03月03日 01:40,115.59,115.601,115.563,115.569
2022年03月03日 01:50,115.569,115.602,115.554,115.597
2022年03月03日 02:00,115.596,115.645,115.589,115.637
2022年03月03日 02:10,115.638,115.642,115.595,115.601
2022年03月03日 02:20,115.601,115.625,115.589,115.597
2022年03月03日 02:30,115.598,115.625,115.595,115.621
2022年03月03日 02:40,115.622,115.622,115.581,115.6
2022年03月03日 02:50,115.599,115.616,115.588,115.595
2022年03月03日 03:00,115.595,115.596,115.595,115.595
2022年03月03日 03:00,115.595,115.613,115.541,115.543
2022年03月03日 03:10,115.543,115.566,115.521,115.551
2022年03月03日 03:20,115.551,115.57,115.532,115.536
2022年03月03日 03:30,115.537,115.558,115.519,115.53
2022年03月03日 03:40,115.53,115.571,115.52,115.562
2022年03月03日 03:50,115.562,115.594,115.561,115.577
2022年03月03日 04:00,115.578,115.586,115.554,115.568
2022年03月03日 04:10,115.568,115.571,115.534,115.536
2022年03月03日 04:20,115.536,115.568,115.526,115.548
2022年03月03日 04:30,115.548,115.569,115.543,115.565
2022年03月03日 04:40,115.564,115.582,115.56,115.564
